Genotype	Subgroup1	Subgroup2	Subgroup3	Subgroup4
Line1	0.996817	0.001061	0.001061	0.001061
Line2	0.996734	0.001092	0.001086	0.001089
Line3	0.996722	0.001096	0.001095	0.001087
Line4	0.996618	0.001127	0.00113	0.001126
Line5	0.996587	0.001133	0.001142	0.001138
Line6	0.996543	0.001148	0.00116	0.001149
Line7	0.996341	0.001217	0.00122	0.001222
Line8	0.99628	0.00125	0.001231	0.00124
Line9	0.814553	0.183213	0.001111	0.001123
Line10	0.001071	0.996803	0.001062	0.001064
Line11	0.001081	0.996761	0.001078	0.00108
Line12	0.001086	0.996756	0.001075	0.001082
Line13	0.001099	0.996739	0.00108	0.001082
Line14	0.001241	0.996297	0.001231	0.001232
Line15	0.001063	0.001063	0.996812	0.001062
Line16	0.0011	0.001091	0.996729	0.00108
Line17	0.00111	0.001097	0.996689	0.001104
Line18	0.001231	0.001228	0.996324	0.001217
Line19	0.452764	0.001064	0.545098	0.001074
Line20	0.001143	0.001154	0.001132	0.996572
Line21	0.001162	0.001158	0.001159	0.996521
Line22	0.001192	0.001169	0.001178	0.996461
Line23	0.481531	0.00112	0.001105	0.516245
