Runs	GroupA	GroupB	GroupC	GroupD	GroupE	GroupF	GroupG	GroupH	GroupI	GroupJ
Run1	0.268317072	0.530628252	0.481654338	0.522940684	0.391800597	0.365488314	0.29410185	0.345338041	0.256474724	0.216769477
Run2	0.468957367	0.408067231	0.397220563	0.317608426	0.352512257	0.349216328	0.334192412	0.269277751	0.270103637	0.218007706
Run3	0.662916013	0.61351545	0.471702314	0.444739583	0.381531564	0.313425011	0.296775979	0.303542113	0.307207765	0.214890301
Run4	0.525685584	0.537308665	0.466591921	0.310525498	0.384785657	0.405483849	0.344717603	0.288335865	0.257455299	0.215841612
Run5	0.549413971	0.25272695	0.370409702	0.468585929	0.340679814	0.356295009	0.364669018	0.316683349	0.257641305	0.212157837
Run6	0.34053671	0.446018175	0.40085863	0.38940523	0.416015517	0.341952187	0.378843621	0.268657141	0.225399982	0.213877765
Run7	0.56979067	0.595800583	0.430720841	0.343861001	0.43657193	0.336211362	0.309231587	0.30192629	0.33164031	0.215736917
Run8	0.578573648	0.335934098	0.260794942	0.340276337	0.414310156	0.422845879	0.377146781	0.315869768	0.260259522	0.212910554
Run9	0.005031717	0.496842087	0.343504612	0.512206323	0.382076586	0.400417947	0.337517765	0.292287648	0.284808604	0.21832518
Run10	0.378784797	0.404004538	0.501396606	0.540300473	0.417405145	0.374234488	0.374276758	0.398212563	0.28185916	0.21689279
