Line	PC1	PC2	Subgroups
Line1	-1.3354228	-0.6238894	1
Line2	-0.78846025	-1.7296546	1
Line3	-1.5249798	-0.6481254	1
Line4	0.030534497	0.05450525	1
Line5	-0.691064	-1.1088302	1
Line6	-1.11714	-0.5443911	1
Line7	-1.476908	-2.103744	1
Line8	-0.09921842	-1.4300963	1
Line9	0.3697644	-0.82379127	1
Line10	1.9914865	1.5804945	2
Line11	3.3001695	1.7679	2
Line12	2.2642944	-0.77558327	2
Line13	2.5341952	-1.0622771	2
Line14	1.496348	0.07562514	2
Line15	-1.0021417	3.1757176	3
Line16	-1.5400031	2.1719604	3
Line17	-2.0061438	2.0075	3
Line18	-0.66865164	1.0525634	3
Line19	-1.3704796	0.61347634	3
Line20	1.9970795	0.20397627	4
Line21	-0.05976853	-0.1258465	4
Line22	-1.1540544	-0.49938777	4
Line23	0.8505641	-1.228102	4
